Title,Earnings,Opening Weekend,Opening Date,Close Date
Cheeni Kum,"697,369","346,245",5/25/2007,6/17/2007
Jhoom Barabar Jhoom,"695,157","455,257",6/15/2007,6/24/2007
Lady Chatterley,"687,414","32,814",6/22/2007,12/2/2007
The King of Kong: A Fistful of Quarters,"677,914","51,493",8/17/2007,10/25/2007
Laaga Chunari Mein Daag - Journey of a Woman,"675,102","320,987",10/12/2007,11/4/2007
Journey from the Fall,"641,039","83,397",3/23/2007,9/27/2007
Moliere,"635,733","32,601",7/27/2007,11/29/2007
Romance and Cigarettes,"557,471",N/A,9/7/2007,1/24/2007
The Italian,"555,436","23,290",1/19/2007,6/28/2007
Aaja Nachle,"484,108","257,500",11/30/2007,12/20/2007
Joshua,"482,355","51,233",7/6/2007,8/9/2007
DOA: Dead or Alive,"480,813","260,713",6/15/2007,7/5/2007
Brooklyn Rules,"458,232","41,811",5/11/2007,7/29/2007
Day Watch,"450,897","46,730",6/1/2007,8/2/2007
Wristcutters: A Love Story,"446,165","42,808",10/19/2007,12/11/2007
Gypsy Caravan,"442,936",379,1/19/2007,12/13/2007
The Singing Revolution,"426,855","2,475",12/7/2007,8/6/2007
Seraphim Falls,"418,296","155,560",1/26/2007,3/8/2007
Interview,"416,951","41,016",7/13/2007,10/25/2007
Killer of Sheep (re-issue),"404,508","26,154",3/30/2007,11/1/2007
Jindabyne,"400,438","28,298",4/27/2007,9/6/2007
Mafioso (re-issue),"400,019","29,965",1/19/2007,8/2/2007
The Last Sin Eater,"388,390","246,483",2/9/2007,2/22/2007
Introducing the Dwights,"379,408","27,734",7/4/2007,8/23/2007
Sleuth (2007),"342,895","46,265",10/12/2007,1/24/2007
The 2006 Academy Award Nominated Short Films,"335,090","105,709",2/16/2007,5/24/2007
This Is England,"329,379","18,430",7/25/2007,11/22/2007
For the Bible Tells Me So,"312,751","7,412",10/5/2007,3/27/2007
Constellation,"306,533","215,801",2/2/2007,2/11/2007
Fido,"304,533","10,203",6/15/2007,7/15/2007
Chalk,"302,845","6,913",5/11/2007,10/4/2007
God Grew Tired of Us,"301,447","21,858",1/12/2007,4/15/2007
Crazy Love,"301,027","17,952",6/1/2007,9/13/2007
Passage to Zarahemla,"292,102","57,977",10/12/2007,3/13/2007
Shootout at Lokhandwala,"289,232","158,227",5/25/2007,6/10/2007
Ten Canoes,"283,654","14,076",6/1/2007,10/25/2007
Southland Tales,"275,380","123,428",11/14/2007,12/20/2007
Deep Water,"271,143","22,632",8/24/2007,12/20/2007
King of California,"268,461","35,814",9/14/2007,11/1/2007
Honeydripper,"267,880","9,863",12/28/2007,6/22/2007
The TV Set,"265,198","34,531",4/6/2007,7/15/2007
Brand Upon the Brain!,"263,200","46,412",5/9/2007,10/18/2007
Steep,"260,586","21,189",12/21/2007,4/10/2007
Noelle,"257,868","165,445",12/7/2007,12/20/2007
Joe Strummer: The Future Is Unwritten,"248,362","20,880",11/2/2007,1/31/2007
Youth Without Youth,"244,397","28,550",12/14/2007,2/28/2007
Gandhi My Father,"242,967","174,425",8/3/2007,8/23/2007
Manufactured Landscapes,"240,239","9,129",6/20/2007,11/25/2007
O Jerusalem,"234,480","31,165",10/17/2007,12/6/2007
My Kid Could Paint That,"231,574","26,290",10/5/2007,2/7/2007
10 Questions for the Dalai Lama,"224,546",N/A,4/27/2007,12/20/2007
Aida at La Scala,"222,927","97,874",12/9/2007,11/2/2007
Surviving My Mother,"222,555",N/A,11/2/2007,12/9/2007
Eagle Vs. Shark,"221,846","20,361",6/15/2007,8/5/2007
Ira & Abby,"221,096","36,938",9/14/2007,12/20/2007
Boy Culture,"220,409","27,835",3/23/2007,8/2/2007
Dus Khaniyan,"219,071","176,726",12/7/2007,12/13/2007
Starter for 10,"216,839","37,141",2/23/2007,3/29/2007
First Snow,"214,864","15,189",3/23/2007,5/31/2007
Trade,"214,307","118,086",9/28/2007,10/25/2007
The Page Turner,"209,659","18,844",3/23/2007,8/2/2007
Believe in Me,"209,654","81,569",3/9/2007,4/5/2007
A Man Named Pearl,"208,392","8,378",8/31/2007,2/26/2007
Angel-A,"202,647","29,727",5/25/2007,10/4/2007
Live in Maid,"200,433","15,581",7/18/2007,10/28/2007
What Would Jesus Buy?,"200,010","9,527",11/16/2007,1/3/2007
I Want Someone to Eat Cheese With,"194,568","12,317",9/5/2007,1/6/2007
Lonely Hearts,"188,565","80,423",4/13/2007,5/10/2007
Vitus,"187,480","5,722",6/29/2007,10/25/2007
Offside,"180,530","18,003",3/23/2007,7/26/2007
An Unreasonable Man,"176,647","9,813",1/31/2007,5/17/2007
Hatchet,"175,281","100,358",9/7/2007,9/20/2007
The Flying Scotsman,"171,817","78,337",5/4/2007,-/2007
Hollywood Dreams,"171,255","3,960",5/18/2007,12/16/2007
Blame It on Fidel,"168,065","9,004",8/3/2007,12/20/2007
Holly,"166,620","32,406",11/9/2007,5/29/2007
Dhamaal,"166,339","166,339",9/7/2007,9/9/2007
Outsourced,"163,561","32,227",9/28/2007,1/21/2007
Vanaja,"161,590","8,770",8/31/2007,12/9/2007
Nanking,"161,182","6,316",12/12/2007,3/6/2007
The Bubble,"157,121","38,882",9/7/2007,1/3/2007
Red Road,"154,892","17,009",4/13/2007,7/15/2007
Music Within,"154,087","52,744",10/26/2007,-/2007
Show Business,"151,792","8,829",5/11/2007,3/2/2007
Milarepa,"151,114","8,330",9/7/2007,10/21/2007
Life in a... METRO,"150,212","62,477",5/11/2007,6/3/2007
Becket (re-issue),"149,327","7,912",1/26/2007,4/22/2007
Memories of Tomorrow,"140,200","1,524",5/18/2007,12/16/2007
The Salon,"139,084","92,362",5/11/2007,5/20/2007
The List (2007),"138,814","22,823",8/10/2007,12/16/2007
Severance,"137,221","8,316",5/18/2007,6/28/2007
Private Fears in Public Places,"134,636","14,391",4/13/2007,7/19/2007
The Devil Came on Horseback,"132,782","11,143",7/25/2007,12/6/2007
The Earrings of Madame de... (re-issue),"130,561","15,409",3/16/2007,9/20/2007
Americanizing Shelley,"128,024","9,434",4/26/2007,5/31/2007
The Wendell Baker Story,"127,414","48,120",5/18/2007,7/15/2007
Fay Grim,"126,714","61,817",5/18/2007,6/14/2007
Dhan Dhana Dhana Goal,"125,547","66,011",11/21/2007,12/9/2007
Manda Bala (Send a Bullet),"122,905","14,030",8/17/2007,12/6/2007
Reservation Road,"121,994","36,269",10/19/2007,11/4/2007
David & Layla,"120,750","14,491",7/20/2007,3/16/2007
War/Dance,"115,210","15,471",11/9/2007,3/27/2007
Rise: Blood Hunter,"114,306","59,371",6/1/2007,6/14/2007
Bamako,"112,351","10,183",2/14/2007,10/28/2007
Diva (re-issue),"110,014","5,672",11/2/2007,4/10/2007
Darfur Now,"109,107","23,217",11/2/2007,12/20/2007
Jimmy Carter Man from Plains,"108,807","10,413",10/26/2007,2/21/2007
King Corn,"105,422","6,753",10/12/2007,2/10/2007
Tortilla Heaven,"105,401","73,452",3/16/2007,4/5/2007
Mr. Untouchable,"104,678","48,280",10/26/2007,11/20/2007
Return with Honor - A Missionary Homecoming,"103,601","30,830",9/14/2007,10/21/2007
Islander,"102,737","8,871",3/9/2007,4/15/2007
Quebec sur ordonnace,"101,896",N/A,10/5/2007,10/14/2007
Self-Medicated,"100,610","45,871",8/31/2007,9/27/2007
Klimt,"97,656","2,332",6/22/2007,9/23/2007
Civic Duty,"95,953","54,902",5/4/2007,5/28/2007
Dedication,"92,853","23,832",8/24/2007,10/11/2007
12:08 East of Bucharest,"91,881","11,586",6/6/2007,9/3/2007
Blind Dating,"90,560","61,877",5/11/2007,5/24/2007
Puccini for Beginners,"89,464","13,380",2/2/2007,6/28/2007
Pete Seeger: The Power of Song,"88,312","11,945",10/26/2007,11/29/2007
How to Cook Your Life,"87,370","8,741",10/26/2007,5/1/2007
Kurt Cobain About a Son,"87,016","10,749",10/3/2007,2/10/2007
Delirious (2007),"86,460","19,030",8/15/2007,10/11/2007
Fierce People,"85,410","19,968",9/7/2007,9/23/2007
Revolver,"84,738","41,820",12/7/2007,12/20/2007
Black Sheep (2007),"84,283","16,102",6/22/2007,8/16/2007
The Treatment,"83,354","14,196",5/4/2007,8/30/2007
Le Doulos (re-issue),"82,772","9,362",6/29/2007,1/6/2007
Comedy of Power,"80,550","10,061",1/5/2007,3/29/2007
The Walker,"79,698","16,525",12/7/2007,2/7/2007
Nomad (The Warrior),"79,123","14,250",3/16/2007,5/17/2007
Radiant City,"78,944",N/A,3/30/2007,5/20/2007
Tears of the Black Tiger,"75,234","7,954",1/12/2007,5/10/2007
Nishabd,"73,819","40,684",3/2/2007,3/15/2007
Eye of the Dolphin,"72,210","37,924",8/24/2007,11/22/2007
Gray Matters,"71,561","25,714",2/23/2007,3/22/2007
Air Guitar Nation,"71,471","7,035",3/23/2007,8/9/2007
Color Me Kubrick,"71,190","37,201",3/23/2007,4/26/2007
Zoo,"69,770","7,811",4/25/2007,7/12/2007
The Red Balloon / White Mane (re-issue),"69,139","9,004",11/16/2007,12/2/2007
Behind the Mask: The Rise of Leslie Vernon,"69,136","38,500",3/16/2007,4/1/2007
Lagerfeld Confidential,"67,500","11,477",10/24/2007,1/17/2007
Diggers,"66,517","32,867",4/27/2007,5/17/2007
My Brother,"65,797","28,613",3/16/2007,3/25/2007
Redacted,"65,388","25,628",11/16/2007,12/20/2007
The Violin,"65,298","5,647",12/5/2007,5/11/2007
Right at Your Door,"65,018","32,452",8/24/2007,10/4/2007
Even Money,"64,458","22,465",5/18/2007,6/14/2007
Dans Paris,"63,667","12,231",8/8/2007,10/4/2007
The Nines,"63,165","23,617",8/31/2007,10/11/2007
Private Property,"62,897","15,086",5/18/2007,10/7/2007
The Holy Mountain (re-issue),"61,001","4,143",1/19/2007,7/6/2007
Maxed Out,"58,829","20,024",3/9/2007,4/26/2007
Triad Election,"55,758","10,811",4/25/2007,8/19/2007
Finishing the Game,"52,868","11,903",10/5/2007,12/6/2007
Billy the Kid,"52,823","7,923",12/5/2007,2/14/2007
PIERROT LE FOU,"52,640","7,254",6/15/2007,9/20/2007
Dynamite Warrior,"52,292","1,082",7/6/2007,7/15/2007
Exiled,"51,957","15,502",8/31/2007,9/20/2007
Strength and Honor,"51,933","51,933",12/7/2007,12/9/2007
Boss of It All,"51,548","7,855",5/23/2007,7/19/2007
Amu,"51,251","8,480",5/25/2007,7/1/2007
Grace Is Gone,"50,899","13,880",12/7/2007,2/7/2007
December Boys,"50,715","15,810",9/14/2007,10/4/2007
Them,"50,057","4,025",8/24/2007,9/23/2007
Transformation: The Life and Legacy of Werner Erhard,"49,919","25,460",7/27/2007,8/2/2007
Fakers,"49,880","22,750",4/27/2007,7/26/2007
Alice Neel,"48,969","6,207",4/20/2007,8/26/2007
The Situation,"48,896","7,187",2/2/2007,5/31/2007
Ghosts of Cite Soleil,"48,752","7,100",6/27/2007,9/9/2007
Terror's Advocate,"47,724","11,197",10/12/2007,11/15/2007
The Hip Hop Project,"46,208","32,520",5/11/2007,5/17/2007
Shotgun Stories,"46,026","4,553",12/14/2007,7/17/2007
Randy and the Mob,"45,410","12,852",9/21/2007,12/6/2007
Grbavica: The Land of My Dreams,"43,460","4,977",2/16/2007,6/14/2007
Moving McAllister,"42,538","28,665",9/14/2007,9/27/2007
Colma: The Musical,"41,131","8,403",6/22/2007,11/1/2007
Beyond the Gates,"40,848","6,374",3/9/2007,4/5/2007
Yiddish Theater: A Love Story,"40,182","1,886",11/21/2007,1/15/2007
Sea of Dreams,"39,200","39,200",9/21/2007,9/23/2007
The Life of Reilly,"38,960","2,798",11/9/2007,1/3/2007
The Cats of Mirikitani,"38,925","5,160",3/2/2007,4/29/2007
Moondance Alexander,"37,895","17,427",10/19/2007,11/8/2007
Wind Chill,"36,804","20,146",4/27/2007,-/2007
Fighting Words,"35,688","9,753",4/6/2007,8/9/2007
Canvas,"35,630","13,100",10/12/2007,10/25/2007
Bon Jovi: The Lost Highway,"35,000","35,000",11/9/2007,11/11/2007
Black Friday,"35,000","25,000",2/9/2007,2/22/2007
Your Mommy Kills Animals,"34,000","34,000",7/20/2007,7/20/2007
The Last Winter,"33,190","8,090",9/19/2007,10/25/2007
Falling for Grace,"33,060","3,614",7/20/2007,9/23/2007
Local Color,"32,788","7,183",10/19/2007,-/2007
Controlled Chaos (re-issue),"32,740","3,969",10/19/2007,11/11/2007
Sacco and Vanzetti,"32,203","2,778",1/26/2007,5/24/2007
Day Night / Day Night,"31,856","5,457",5/9/2007,6/21/2007
Forever,"31,502","5,202",9/12/2007,9/26/2007
The Hottest State,"31,216","8,545",8/24/2007,9/27/2007
La Chinoise (re-issue),"30,857","9,355",10/10/2007,-/2007
I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal,"29,976","5,075",5/23/2007,6/10/2007
Metropolis (re-issue),"28,779","7,372",7/20/2007,9/9/2007
Gringo Wedding,"26,946","15,000",5/4/2007,5/31/2007
Snow Cake,"26,651","5,030",4/27/2007,6/14/2007
Snoop Dogg's Hood of Horror,"25,900","25,900",5/4/2007,-/2007
The Willow Tree,"25,752","6,048",8/3/2007,3/13/2007
Stephanie Daley,"25,751","3,401",4/20/2007,9/27/2007
Naked Boys Singing,"25,526","3,690",10/12/2007,12/9/2007
Mala Noche (re-issue),"25,386","3,833",6/1/2007,9/20/2007
Cashback,"25,343","14,878",7/20/2007,8/2/2007
Lake of Fire,"25,317","2,559",10/3/2007,11/15/2007
Hat Trick,"24,502","20,700",3/16/2007,3/22/2007
I'll Believe You,"24,110","12,010",11/9/2007,11/18/2007
Sunflower,"23,919","4,195",8/17/2007,9/20/2007
Arnold's Park,"23,616","13,112",7/20/2007,10/21/2007
Arranged,"23,571","5,560",12/14/2007,4/24/2007
In Between Days,"23,465","5,065",6/27/2007,11/15/2007
The Sensation of Sight,"23,457","8,256",11/9/2007,9/25/2007
Il Ne Faut Jurer de Rien,"23,442","9,836",1/26/2007,2/11/2007
Exterminating Angels,"23,308","6,485",3/7/2007,4/5/2007
Pierrepoint - The Last Hangman,"23,192","2,028",6/1/2007,6/28/2007
Hannah Takes the Stairs,"22,815","5,901",8/22/2007,11/1/2007
Flanders,"22,788","1,794",5/18/2007,9/6/2007
The Good Night,"22,441","12,377",10/5/2007,11/8/2007
Rails & Ties,"22,136","11,059",10/26/2007,11/15/2007
Primo Levi's Journey,"22,026","3,151",8/17/2007,11/8/2007
Great World of Sound,"22,011","6,129",9/14/2007,11/1/2007
Sing Now or Forever Hold Your Peace,"21,908","15,598",4/27/2007,5/13/2007
Czech Dream,"21,603","3,887",6/15/2007,12/13/2007
Dr. Bronner's Magic Soapbox,"21,579","1,570",6/29/2007,8/23/2007
Imaginary Witness: Hollywood and the Holocaust,"21,507",630,12/7/2007,4/27/2007
Dreaming Lhasa,"21,504","6,060",4/13/2007,7/26/2007
Close to Home,"20,931","5,630",2/16/2007,4/5/2007
The Tripper,"20,840","20,840",4/20/2007,-/2007
Meeting Resistance,"20,616","7,712",10/19/2007,11/22/2007
Summer '04,"20,474","3,856",8/1/2007,11/18/2007
Flying: Confessions of a Free Woman,"20,157","4,347",7/4/2007,7/19/2007
Dirty Laundry,"20,138","15,841",12/7/2007,12/16/2007
L'Iceberg,"19,789","1,137",5/4/2007,7/29/2007
Everything's Gone Green,"19,373","3,426",4/13/2007,7/15/2007
I Don't Want to Sleep Alone,"19,292","4,377",5/9/2007,8/2/2007
City Lights (re-issue),"19,181","9,102",7/6/2007,9/6/2007
Steal a Pencil for Me,"18,918","11,179",11/9/2007,11/25/2007
What Love Is,"18,901","11,583",3/23/2007,3/29/2007
Buddha Mar Gaya,"18,528","13,871",8/17/2007,8/23/2007
Itty Bitty Titty Committee,"18,445","11,505",9/28/2007,10/11/2007
One to Another,"18,435","4,515",6/29/2007,8/5/2007
7 Dias,"16,791","10,548",8/17/2007,8/26/2007
Syndromes and a Century,"16,675","5,518",4/18/2007,7/26/2007
American Cannibal,"16,566","4,778",3/16/2007,4/8/2007
The Amateurs,"16,334","10,149",12/7/2007,12/20/2007
Look,"16,136","10,347",12/14/2007,12/30/2007
Time,"16,070","4,630",7/13/2007,8/2/2007
Quiet City,"15,610","4,860",8/29/2007,10/4/2007
Descent,"15,233","8,411",8/10/2007,8/23/2007
El Inmigrante,"15,100","1,578",7/13/2007,8/14/2007
Desert Bayou,"14,350","6,976",10/5/2007,10/14/2007
Full of It,"14,273","11,431",3/2/2007,3/8/2007
Lights in the Dusk,"14,056","2,757",6/13/2007,9/6/2007
And Then Came Love,"13,944","4,719",6/1/2007,6/21/2007
Cut Sleeve Boys,"13,875","1,982",8/10/2007,9/30/2007
The Protagonist,"13,850","4,495",11/30/2007,12/20/2007
Live Free or Die,"13,836","8,875",3/30/2007,4/12/2007
Love for Sale: Suely in the Sky,"13,703","3,058",8/15/2007,11/15/2007
Poison Friends,"13,665","2,980",4/27/2007,5/31/2007
Skid Marks,"12,959","2,674",10/5/2007,1/31/2007
Rock Bottom,"12,890","4,017",3/2/2007,3/22/2007
Cobra Verde (re-issue),"12,702","7,402",3/23/2007,3/29/2007
China Blue,"12,185","3,767",1/19/2007,2/1/2007
Vengeance Is Mine (re-issue),"11,891",N/A,3/2/2007,6/24/2007
Blockade,"11,750","5,271",3/14/2007,3/25/2007
Angels in the Dust,"11,606","5,043",9/14/2007,9/30/2007
East of Havana,"11,550","4,800",2/2/2007,2/15/2007
Whole New Thing,"11,445","4,949",4/6/2007,5/13/2007
Verdict on Auschwitz,"11,396","2,740",1/12/2007,4/22/2007
Fat Girls,"11,204",N/A,10/12/2007,1/31/2007
Belle Toujours,"10,921","5,363",6/8/2007,9/13/2007
Alone with Her,"10,787","5,555",1/17/2007,3/1/2007
Freshman Orientation,"10,718",930,8/31/2007,12/13/2007
Splinter (2007),"10,497","10,497",8/17/2007,-/2007
In the Pit,"10,433","1,986",2/2/2007,5/10/2007
Steel City,"10,227",817,5/25/2007,6/24/2007
Wild Tigers I Have Known,"9,946","4,515",2/28/2007,3/15/2007
Nina's Heavenly Delights,"9,936",267,11/21/2007,2/28/2007
If I Didn't Care,"9,902","8,527",8/3/2007,8/9/2007
Something to Cheer About,"9,777","6,410",4/27/2007,5/6/2007
Macbeth,"9,613",644,6/15/2007,7/29/2007
The Unknown Soldier,"9,602","3,545",9/7/2007,9/20/2007
The Sasquatch Gang,"9,458","9,458",11/30/2007,12/2/2007
Smiley Face,"9,397","5,993",11/16/2007,11/29/2007
Crossing the Line,"9,258","2,605",8/10/2007,11/4/2007
Slipstream,"8,965","6,273",10/26/2007,11/1/2007
Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe,"8,939","3,815",10/19/2007,10/28/2007
Strike,"8,872","4,410",6/15/2007,7/1/2007
Closing Escrow,"8,719","5,772",8/24/2007,8/30/2007
Drama/Mex,"8,628","2,800",7/11/2007,7/26/2007
G.I. Jesus,"8,593","6,014",1/26/2007,2/8/2007
Salvador Allende,"8,454",N/A,9/5/2007,1/20/2007
Goodbye Momo,"8,453","4,008",4/20/2007,5/3/2007
Glastonbury,"8,419","1,179",2/23/2007,4/12/2007
Summer in Berlin,"8,340","5,536",3/30/2007,4/5/2007
My Brother's Wedding (re-issue),"8,217","4,294",9/14/2007,9/23/2007
Weirdsville,"8,161","2,862",10/5/2007,10/25/2007
The Iron Man,"8,025","2,350",7/27/2007,8/5/2007
The Other Conquest (re-issue),"8,000","8,000",5/4/2007,5/6/2007
The Man of My Life,"7,704","2,991",9/21/2007,1/3/2007
Disappearances,"7,506","1,629",5/4/2007,6/14/2007
Allegro,"7,404",505,5/9/2007,8/9/2007
Casting About,"7,279",893,5/11/2007,8/16/2007
Midnight Eagle,"7,116","2,543",11/23/2007,12/20/2007
Quantum Hoops,"7,075","4,216",11/2/2007,11/11/2007
The Method (El Metodo),"7,017","3,407",7/6/2007,7/19/2007
The Hawk Is Dying,"7,006","1,042",3/30/2007,6/14/2007
Camden 28,"6,983","3,428",7/27/2007,8/9/2007
Black Irish,"6,900","6,900",10/26/2007,10/28/2007
Operation Homecoming,"6,795","4,516",2/9/2007,2/15/2007
DarkBlueAlmostBlack,"6,646","1,897",10/19/2007,1/3/2007
Skid Row,"6,627","6,627",8/24/2007,8/26/2007
Blonde Ambition,"6,422","1,322",12/21/2007,1/3/2007
Ten 'til Noon,"6,404","2,520",3/30/2007,4/26/2007
Tekkon Kinkreet,"6,000","6,000",7/13/2007,-/2007
Mr. Blue Sky,"5,713","3,714",11/9/2007,11/15/2007
Fired!,"5,661","2,158",2/2/2007,2/15/2007
Choking Man,"5,474","4,189",11/9/2007,11/15/2007
Race You to the Bottom,"5,468","1,549",3/30/2007,6/28/2007
Fratricide,"5,428","4,343",2/16/2007,2/19/2007
The Glamorous Life of Sachiko Hanai,"5,383","1,787",4/13/2007,5/3/2007
Rock the Bells,"5,347","1,325",4/11/2007,-/2007
The Inner Life of Martin Frost,"5,114","3,522",9/7/2007,9/16/2007
Everything's Cool,"4,890","2,641",11/23/2007,11/29/2007
What the Snow Brings,"4,816","1,570",6/1/2007,8/23/2007
Laura Smiles,"4,558","2,065",7/27/2007,8/5/2007
Blood and Tears,"4,364","2,201",6/15/2007,7/5/2007
Beauty Remains,"4,298","3,248",9/21/2007,9/27/2007
Raising Flagg,"4,130",636,2/2/2007,-/2007
"The Cop, the Criminal and the Clown","3,935","3,935",4/6/2007,4/8/2007
Berkeley,"3,770","2,837",10/12/2007,10/18/2007
I'm Reed Fish,"3,567","1,026",6/1/2007,6/21/2007
Antonia,"3,550","3,550",9/21/2007,9/23/2007
The Price of Sugar,"3,384","3,384",9/28/2007,9/30/2007
Daratt,"3,303","2,352",4/6/2007,4/12/2007
Khadak,"3,139","1,983",10/12/2007,10/18/2007
The Prisoner or: How I Planned to Kill Tony Blair,"3,103","2,194",3/23/2007,3/29/2007
Los Muertos,"3,027","1,758",4/6/2007,4/12/2007
Funny Money,"2,844","1,839",1/26/2007,2/1/2007
Half Moon,"2,528","1,126",12/14/2007,1/3/2007
He Was a Quiet Man,"2,431","2,431",11/30/2007,12/2/2007
Looking for an Icon,"2,393","1,760",5/9/2007,5/13/2007
Chronicle of an Escape (Cronica de una fuga),"2,370","1,307",11/30/2007,12/6/2007
You're Gonna Miss Me,"2,324","1,340",6/8/2007,6/14/2007
Adrift in Manhattan,"2,099","2,099",9/21/2007,9/23/2007
Badland,"1,924","1,924",11/30/2007,12/2/2007
Greg & Gentillon,"1,913","1,913",4/6/2007,4/8/2007
Oswald's Ghost,"1,796","1,796",11/30/2007,12/2/2007
Divine Intervention (2007),"1,485",856,11/30/2007,12/16/2007
Out of the Blue,"1,477",728,10/19/2007,10/25/2007
'Tis Autumn: The Search for Jackie Paris,"1,476","1,476",12/7/2007,12/9/2007
Unborn in the USA,"1,475","1,035",6/15/2007,6/21/2007
Four Lane Highway,"1,393",955,6/1/2007,6/7/2007
The Dog Problem,"1,344",914,4/27/2007,5/3/2007
Adam's Apples,"1,305","1,305",3/16/2007,3/18/2007
Eleven Men Out,"1,302","1,302",11/16/2007,11/18/2007
The Trials of Darryl Hunt,"1,217",619,6/15/2007,6/28/2007
Looking for Cheyenne,973,165,12/7/2007,1/24/2007
Beyond Hatred,949,533,6/15/2007,6/24/2007
It's a Boy Girl Thing,848,848,12/7/2007,12/9/2007
Flakes,778,311,12/19/2007,12/25/2007
The Sugar Curtain,582,582,7/27/2007,7/29/2007
Notes on Marie Menken,577,577,2/9/2007,2/11/2007
Falling,509,509,6/29/2007,-/2007
The Last Door,488,488,11/30/2007,12/2/2007
The Marsh,336,336,3/23/2007,3/25/2007
Intervention,279,279,11/30/2007,12/2/2007
The Dark Knight,"533,345,358","158,411,483",7/18/2008,3/5/2008
Iron Man,"318,412,101","98,618,668",5/2/2008,10/2/2008
